IK;Nachfolge IK;Gültig ab;Gültig bis;Name1;Name2;Strasse;Land;PLZ;Ort-BG;Vorwahl;Tel-Nr;Fax-Nr;IK-UNIDAV;E-mail UNI-DAV;"KV-Connect UNI-DAV"
121192344;;01.01.2016;;BG der Bauwirtschaft;Hauptverwaltung;Hildegardstr. 29 - 30;D;10715;Berlin;030;857810;85781500;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120390887;;01.01.2015;;BG der Bauwirtschaft;BV Nord;Hildesheimer Straße 309;D;30519;Hannover;0511;9870;9872440;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120991009;;01.01.2015;;BG der Bauwirtschaft;BV Süd;Am Knie 6;D;81241;München;089;889701;8897600;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120590925;;01.01.2015;;BG der Bauwirtschaft;BV Mitte;Viktoriastr. 21;D;42115;Wuppertal;0202;3980;3981404;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120290671;;01.01.2012;;BG ETEM;BV Hamburg, PLZ-Gebiet 20-22;Nagelsweg 33 - 35;D;20097;Hamburg;040;2274480;22744899;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120390466;;01.01.2010;;BG ETEM;BV Braunschweig, PLZ-Gebiet 26-31, 37, 38, 49;Lessingplatz 13;D;38100;Braunschweig;0531;47170;47171721;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120590184;;01.01.2012;;BG ETEM;BV Düsseldorf, PLZ-Gebiet 40, 41, 45-47;Auf'm Hennekamp 74;D;40225;Düsseldorf;0211;93350;9335199;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120590446;;09.09.2011;;BG ETEM;Hauptverwaltung;Gustav-Heinemann-Ufer 130;D;50968;Köln;0221;37780;37781199;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120590479;;09.09.2011;;BG ETEM;BV Köln, PLZ-Gebiet 32, 33, 48, 50-57, 58600-59;Gustav-Heinemann-Ufer 120;D;50968;Köln;0221;37780;37781711;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120590685;;01.01.2012;;BG ETEM;BV Wuppertal, PLZ-Gebiet 42, 44, 58-58599;Hofkamp 84;D;42103;Wuppertal;0202;245830;2458330;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120690697;;01.01.2012;;BG ETEM;BV Wiesbaden, PLZ-Gebiet 34, 35, 54, 55, 60, 61, 65-67;Rheinstr. 6-8;D;65185;Wiesbaden;0611;131254;131158;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
