IK;Name
103523440;Continentale BKK
103525567;SIEMAG BKK
103525909;BKK Achenbach Buschhütten
103526615;BKK VDN
103532065;BKK VDN/Ost
103720893;Bertelsmann BKK/Ost
103723317;BKK MIELE Ost
103723896;Heimat Krankenkasse/Ost
103724238;Heimat Krankenkasse
103724249;BKK Dürkopp Adler
103724272;BKK Gildemeister Seidensticker
103724294;BKK Diakonie
103725342;Bertelsmann BKK
103725364;BKK Miele
103725547;BKK HMR
103726081;BKK Melitta Plus
104491707;NOVITAS BKK
104491718;NOVITAS BKK/Ost
104525035;ktpBKK
104525057;E.ON Betriebskrankenkasse
104526376;VIACTIV Krankenkasse
104528744;ktpBKK/Ost
104529255;VIACTIV Krankenkasse Ost
104593993;BITMARCK SERVICE GmbH
104625684;GBK KOELN
104626903;BKK BPW Wiehl
104629688;actimonda krankenkasse / Ost
104691721;GBK KOELN-OST
104926702;BKK DIE BERGISCHE KRANKENKASSE
105230076;BKK Merck
105321236;Vereinigte BKK/Ost
105321269;Salus BKK/Ost
105328415;BKK Braun-Gillette/Ost
105330157;BKK Braun-Gillette
105330168;Salus BKK
105330191;Vereinigte BKK
105330431;BKK KARL MAYER
105530126;BKK Werra-Meissner
105530331;BKK Herkules
105530364;BKK HENSCHEL Plus
105530422;BKK Braun Melsungen
105723301;BKK PricewaterhouseCoopers
105732324;BKK Ernst & Young
105734543;BKK Wirtschaft & Finanzen
105792123;BKK Wirtschaft & Finanzen/Ost
105792190;BKK PricewaterhouseCoopers/Ost
105821242;BKK LINDE/OST
105823040;R+V BKK
105823051;R+V BKK/OST
105830517;BKK Linde
105830539;BKK family
105928809;BKK der Thüringer Energievers.
106020600;BKK MEM
103729701;BKK Diakonie/Ost
103791489;BKK Gildemeister Seidenst./Ost
104027544;BKK Bundesverband
104125509;BKK EUREGIO
104127692;actimonda krankenkasse
104220878;BKK Deutsche Bank AG/Ost
104224634;BKK Deutsche Bank AG
104239915;BKK ESSANELLE
104239926;BKK ESSANELLE Ost
104424830;BKK GRILLO-WERKE AG
100820488;Brandenburgische BKK
101320032;SECURVITA BKK
101320942;SECURVITA BKK/Ost
101520078;BKK MOBIL OIL
101532152;BKK PHOENIX / Ost
101592133;CITY BKK/Ost
101592509;medi-convent GmbH/BKK Kassana
101921814;BKK Salzgitter/Ost
101922757;BKK Salzgitter
101931440;BKK Publik
102031410;BKK Technoform
102121863;BKK DER PARTNER/OST
102122557;BKK exklusiv
102122660;BKK 24
102129930;energie-BKK
102129974;energie-BKK OST
102131240;BKK RWE
102131320;BKK exklusiv / Ost
102137985;BKK TUI
102192017;BKK TUI/Ost
102429648;BKK EWE
102429659;BKK EWE/Ost
102522653;BKK DER PARTNER
102529638;BKK firmus/Ost
102732316;BKK 24/Ost
103121013;atlas BKK ahlmann
103121137;BKK firmus
106329225;Debeka BKK
106329236;Debeka BKK/Ost
106331593;BKK KEVAG KOBLENZ
106420977;BKK PFAFF/OST
106431572;BKK PFAFF
106431652;BKK Pfalz
106432038;BKK VITAL
106437453;BKK Pfalz/Ost
106492393;pronova BKK
106492406;pronova BKK/Ost
106928388;Südzucker-BKK/Ost
106936311;Südzucker-BKK
107036370;BKK Freudenberg
107335009;BKK Landesverband BaWü
